param,value,problem,mean_IGD,std_IGD,mean_IGDX,std_IGDX
niche_boost,0.0,MMF1,0.005616622398776062,0.0005891626390672805,0.07062094745043412,0.0015277075133666522
niche_boost,0.0,MMF2,0.006668937348378594,0.0002504965531470761,0.06867349888902803,0.07185934386493341
niche_boost,0.0,MMF5,0.005924659325973893,0.00048603164163426443,0.14268851964193838,0.011878849380451913
niche_boost,0.25,MMF1,0.00579870337150169,0.00020178579192648224,0.07020352247696361,0.0017103086900129563
niche_boost,0.25,MMF2,0.0068072899011237,0.00023444692772994267,0.026362760417634846,0.014160569488861005
niche_boost,0.25,MMF5,0.00571657761192122,0.00043329474030509585,0.12875665460715777,0.0028417933931775574
niche_boost,0.5,MMF1,0.005484793960356632,0.00016876825950922755,0.07144882757204944,0.0022442654066589414
niche_boost,0.5,MMF2,0.007008956576305595,0.0012207200237434877,0.0793749656232633,0.072789434401738
niche_boost,0.5,MMF5,0.005802712639225375,0.00046968373400083687,0.1350590406610471,0.01057575598443222
niche_boost,1.0,MMF1,0.005892775160438307,0.00015422524093524682,0.06913110657489839,0.0013782406526582104
niche_boost,1.0,MMF2,0.006473214672486201,0.0004724237254062072,0.019482052428856585,0.0029935660243367887
niche_boost,1.0,MMF5,0.005738143909441988,0.0001282263742873532,0.12455282260363111,0.0045190940550670225
cross_mode_mating_prob,0.0,MMF1,0.005425940016844984,0.0001131499221119314,0.0687189338886318,0.003189745747027941
cross_mode_mating_prob,0.0,MMF2,0.00975505736760201,0.005115375094132536,0.05219225363700892,0.019845143573778836
cross_mode_mating_prob,0.0,MMF5,0.00561152562250376,0.0002451241357614866,0.1335697776923874,0.009881803635387338
cross_mode_mating_prob,0.2,MMF1,0.00568350313545701,0.00019184120080522542,0.06865065786262943,0.001700680611737419
cross_mode_mating_prob,0.2,MMF2,0.006900169789036942,0.0001819583322157651,0.03692607206231024,0.0177064967185786
cross_mode_mating_prob,0.2,MMF5,0.005523076222290631,0.00033520611911986523,0.12524958377868325,0.005917518305215596
cross_mode_mating_prob,0.3,MMF1,0.005484793960356632,0.00016876825950922755,0.07144882757204944,0.0022442654066589414
cross_mode_mating_prob,0.3,MMF2,0.007008956576305595,0.0012207200237434877,0.0793749656232633,0.072789434401738
cross_mode_mating_prob,0.3,MMF5,0.005802712639225375,0.00046968373400083687,0.1350590406610471,0.01057575598443222
cross_mode_mating_prob,0.5,MMF1,0.00530215134476236,1.1793643814884599e-05,0.07118577317616302,0.002281495019907105
cross_mode_mating_prob,0.5,MMF2,0.006559790683281092,0.0004227777627422213,0.026016423420593713,0.0020383960753836425
