,vs,win,tie,loss
0,CPDEA,9,1,0
1,DN_NSGAII,8,1,1
2,HREA,8,2,0
3,MMEA_WI,7,1,2
4,MO_Ring_PSO_SCD,10,0,0
5,OmniOptimizer,6,3,1
