,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
SanFrancisco_p11,*6.1887e-01(1.4e-01),1.5113e-02(4.3e-02) +,5.3073e-01(1.8e-01) =,5.2790e-01(1.5e-01) =,5.7051e-01(1.5e-01) =,6.1843e-01(3.7e-02) =,5.3900e-01(1.7e-01) =,4.5923e-01(2.2e-01) +
SanFrancisco_p22,*7.6406e-01(1.0e-01),9.2782e-02(1.5e-01) +,7.0666e-01(2.0e-01) =,7.1413e-01(1.7e-01) =,7.0755e-01(1.9e-01) =,7.4420e-01(2.2e-02) +,6.9688e-01(1.9e-01) =,6.7514e-01(2.2e-01) =
SanFrancisco_p33,4.7286e-01(1.1e-01),1.9955e-02(5.8e-02) +,4.5600e-01(8.5e-02) =,4.3761e-01(9.1e-02) =,4.3469e-01(9.5e-02) =,*4.8084e-01(6.5e-02) =,4.1682e-01(9.4e-02) =,4.4741e-01(7.9e-02) =
