,A0_Full,A1_noDMArchive,A2_noRouteFamily,A3_noEquivFitness,A4_noNiching,A5_noCrossMode,A6_noConstraintAware,A7_noPortfolio,A8_BackboneOnly,A9_noSparsityBonus
MMF1,3.3363e-03(3.1e-04),3.3435e-03(3.2e-04) =,3.3363e-03(3.1e-04) =,2.9868e-03(2.9e-04) -,3.3926e-03(3.8e-04) =,3.2665e-03(3.3e-04) =,3.3363e-03(3.1e-04) =,3.2541e-03(3.5e-04) =,*2.7496e-03(2.5e-04) -,3.0637e-03(3.2e-04) =
MMF2,3.2952e-03(2.2e-04),3.2448e-03(2.0e-04) =,3.2952e-03(2.2e-04) =,3.2012e-03(2.1e-04) =,3.3772e-03(2.4e-04) =,3.1953e-03(2.0e-04) =,3.2952e-03(2.2e-04) =,*3.1520e-03(2.5e-04) =,3.2208e-03(1.9e-04) =,3.3065e-03(2.3e-04) =
MMF3,3.3462e-03(2.2e-04),3.2993e-03(2.1e-04) =,3.3462e-03(2.2e-04) =,3.2352e-03(2.0e-04) =,3.4202e-03(2.2e-04) =,3.2383e-03(2.6e-04) =,3.3462e-03(2.2e-04) =,*3.0245e-03(2.0e-04) -,3.1058e-03(1.8e-04) -,3.3964e-03(2.7e-04) =
MMF4,2.9771e-03(3.0e-04),2.9574e-03(2.4e-04) =,2.9771e-03(3.0e-04) =,2.8282e-03(2.5e-04) =,3.0595e-03(2.8e-04) =,3.0426e-03(2.7e-04) =,2.9771e-03(3.0e-04) =,2.9722e-03(1.8e-04) =,*2.7428e-03(2.1e-04) -,3.0458e-03(2.7e-04) =
MMF5,3.3358e-03(3.9e-04),3.2856e-03(3.7e-04) =,3.3358e-03(3.9e-04) =,2.9208e-03(2.5e-04) -,3.3141e-03(3.4e-04) =,3.4265e-03(3.9e-04) =,3.3358e-03(3.9e-04) =,3.2157e-03(3.9e-04) =,*2.7863e-03(3.0e-04) -,3.0421e-03(2.9e-04) =
MMF6,3.1857e-03(3.6e-04),3.1914e-03(3.9e-04) =,3.1857e-03(3.6e-04) =,2.8138e-03(2.7e-04) -,3.2827e-03(4.4e-04) =,3.2594e-03(4.7e-04) =,3.1857e-03(3.6e-04) =,3.3567e-03(4.9e-04) =,*2.8117e-03(2.8e-04) -,3.0791e-03(2.4e-04) =
MMF7,3.5944e-03(2.0e-04),3.5825e-03(2.3e-04) =,3.5944e-03(2.0e-04) =,2.7682e-03(1.8e-04) -,3.6253e-03(2.6e-04) =,3.5619e-03(2.9e-04) =,3.5944e-03(2.0e-04) =,3.6776e-03(3.3e-04) =,*2.7402e-03(1.6e-04) -,3.4941e-03(2.1e-04) =
MMF8,3.0122e-03(1.9e-04),2.9721e-03(1.9e-04) =,3.0122e-03(1.9e-04) =,2.9514e-03(2.2e-04) =,2.9499e-03(2.1e-04) =,*2.8982e-03(2.0e-04) =,3.0122e-03(1.9e-04) =,2.9637e-03(2.0e-04) =,2.9991e-03(2.3e-04) =,3.0109e-03(2.3e-04) =
