,vs,win,tie,loss
0,CPDEA,10,0,0
1,DN_NSGAII,9,0,1
2,HREA,9,1,0
3,MMEA_WI,7,1,2
4,MO_Ring_PSO_SCD,10,0,0
5,OmniOptimizer,7,3,0
