,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Shenzhen_p11,9.3668e-02(4.7e-02),2.3817e-01(9.7e-02) +,9.4135e-02(4.9e-02) =,9.3992e-02(5.0e-02) =,1.1817e-01(4.9e-02) =,*6.3544e-02(2.0e-02) =,9.3077e-02(4.6e-02) =,8.6410e-02(4.7e-02) =
Shenzhen_p22,*4.9551e-03(1.7e-18),2.9615e-01(2.2e-01) +,4.9551e-03(1.7e-18) =,4.9551e-03(1.7e-18) =,3.1062e-02(1.4e-01) =,6.9579e-03(6.3e-03) =,4.9551e-03(1.7e-18) =,4.9551e-03(1.7e-18) =
Shenzhen_p33,*5.3878e-02(5.1e-02),3.3967e-01(8.8e-02) +,9.5697e-02(8.5e-02) =,9.8636e-02(9.2e-02) =,1.1039e-01(7.6e-02) +,1.0752e-01(4.8e-02) +,7.5616e-02(7.8e-02) =,8.9895e-02(8.7e-02) =
