,vs,win,tie,loss
0,CPDEA,3,0,0
1,DN_NSGAII,1,2,0
2,HREA,1,2,0
3,MMEA_WI,3,0,0
4,MO_Ring_PSO_SCD,1,2,0
5,NSGAII,1,2,0
6,OmniOptimizer,1,1,1
