,A0_Full,A1_noDMArchive,A2_noRouteFamily,A3_noEquivFitness,A4_noNiching,A5_noCrossMode,A6_noConstraintAware,A7_noPortfolio,A8_BackboneOnly,A9_noSparsityBonus
MMF1,2.5155e+01(7.0e-01),2.5167e+01(8.2e-01) =,2.5155e+01(7.0e-01) =,1.8456e+01(2.5e+00) +,*2.5351e+01(6.7e-01) =,2.5186e+01(7.0e-01) =,2.5155e+01(7.0e-01) =,2.4444e+01(8.9e-01) =,1.1994e+01(2.2e+00) +,2.4476e+01(8.6e-01) =
MMF2,1.0535e+02(3.1e+01),1.0617e+02(3.1e+01) =,1.0535e+02(3.1e+01) =,4.3973e+01(2.0e+01) +,6.4528e+01(3.2e+01) +,*1.1805e+02(2.4e+01) =,1.0535e+02(3.1e+01) =,5.9887e+01(3.6e+01) +,2.9981e+01(1.7e+01) +,9.6565e+01(3.2e+01) =
MMF3,8.2709e+01(3.1e+01),8.1966e+01(3.1e+01) =,8.2709e+01(3.1e+01) =,4.5508e+01(2.2e+01) +,6.2330e+01(3.4e+01) =,7.8825e+01(3.2e+01) =,8.2709e+01(3.1e+01) =,5.2020e+01(2.8e+01) +,3.3925e+01(1.2e+01) +,*8.6144e+01(3.5e+01) =
MMF4,4.2826e+01(3.3e+00),4.2537e+01(3.3e+00) =,4.2826e+01(3.3e+00) =,2.0215e+01(6.6e+00) +,*4.3083e+01(3.5e+00) =,4.1720e+01(4.2e+00) =,4.2826e+01(3.3e+00) =,2.4821e+01(6.0e+00) +,6.7560e+00(2.0e+00) +,3.6326e+01(5.2e+00) +
MMF5,1.3478e+01(6.3e-01),*1.3520e+01(7.0e-01) =,1.3478e+01(6.3e-01) =,9.9951e+00(1.2e+00) +,1.3354e+01(6.2e-01) =,1.3378e+01(6.0e-01) =,1.3478e+01(6.3e-01) =,1.0637e+01(8.8e-01) +,6.8283e+00(9.6e-01) +,1.2448e+01(9.1e-01) +
MMF6,1.4992e+01(8.0e-01),1.5067e+01(7.3e-01) =,1.4992e+01(8.0e-01) =,1.1329e+01(1.4e+00) +,*1.5404e+01(4.6e-01) =,1.5106e+01(5.4e-01) =,1.4992e+01(8.0e-01) =,1.2536e+01(9.9e-01) +,7.9137e+00(1.1e+00) +,1.4522e+01(7.2e-01) =
MMF7,4.7678e+01(2.6e+00),*4.7849e+01(3.1e+00) =,4.7678e+01(2.6e+00) =,2.7723e+01(5.1e+00) +,4.7387e+01(3.1e+00) =,4.6577e+01(2.8e+00) =,4.7678e+01(2.6e+00) =,4.6753e+01(2.5e+00) =,2.1789e+01(5.1e+00) +,4.5667e+01(3.9e+00) =
MMF8,2.1809e+01(2.3e+00),2.1740e+01(2.5e+00) =,2.1809e+01(2.3e+00) =,2.7909e+00(1.4e+00) +,*2.2367e+01(3.0e+00) =,2.1369e+01(3.5e+00) =,2.1809e+01(2.3e+00) =,1.6353e+01(3.7e+00) +,5.7680e-01(4.2e-01) +,1.7873e+01(4.4e+00) +
