,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
HV,1.3333333333333333,8.0,6.0,3.0,4.666666666666667,3.0,3.6666666666666665,6.333333333333333
IGD_ref,1.6666666666666667,8.0,6.0,2.0,4.333333333333333,5.0,3.3333333333333335,5.666666666666667
IGDX_ref,1.0,8.0,5.666666666666667,2.6666666666666665,5.0,3.3333333333333335,4.0,6.333333333333333
n_modes,2.3333333333333335,8.0,3.6666666666666665,3.3333333333333335,6.0,7.0,3.0,2.6666666666666665
placement_diversity,4.0,1.0,5.0,4.0,7.333333333333333,6.0,6.333333333333333,2.3333333333333335
mean_access,4.0,8.0,6.666666666666667,2.6666666666666665,3.6666666666666665,2.3333333333333335,2.6666666666666665,6.0
max_access,3.3333333333333335,8.0,3.6666666666666665,6.0,3.3333333333333335,1.3333333333333333,4.666666666666667,5.666666666666667
