,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
HongKong_p11,*7.4116e-01(2.4e-02),2.4915e-01(7.0e-02) +,7.0796e-01(6.6e-02) =,7.2819e-01(4.8e-02) =,7.2312e-01(5.0e-02) =,6.4971e-01(3.8e-02) +,7.1941e-01(5.6e-02) =
HongKong_p22,8.7831e-01(1.6e-02),8.4556e-02(1.8e-01) +,8.7392e-01(1.3e-02) =,8.8083e-01(1.3e-02) =,8.8228e-01(8.4e-03) =,8.3028e-01(2.9e-02) +,*8.8391e-01(7.8e-03) =
HongKong_p33,1.1145e+00(2.0e-02),2.7567e-01(1.9e-01) +,1.1165e+00(1.8e-02) =,1.1188e+00(1.9e-02) =,*1.1230e+00(1.5e-02) =,1.0970e+00(1.4e-02) +,1.1207e+00(1.8e-02) =
