,vs,win,tie,loss
0,CPDEA,2,1,0
1,DN_NSGAII,0,0,3
2,HREA,0,0,3
3,MMEA_WI,0,1,2
4,MO_Ring_PSO_SCD,0,0,3
5,OmniOptimizer,0,0,3
