,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
HongKong_p11,7.8259e-02(1.4e-02),1.9197e-01(3.7e-02) +,1.0323e-01(5.4e-02) =,9.3224e-02(4.4e-02) =,9.7149e-02(3.7e-02) =,*7.6628e-02(1.3e-02) =,1.0444e-01(5.3e-02) =,9.4208e-02(4.4e-02) =
HongKong_p22,8.7420e-03(5.7e-03),1.6348e-01(3.6e-02) +,9.3023e-03(4.7e-03) =,7.4372e-03(5.9e-03) =,1.8222e-02(2.6e-03) +,3.1706e-02(2.1e-02) +,*5.8093e-03(5.3e-03) =,6.6936e-03(4.8e-03) =
HongKong_p33,4.5470e-02(1.1e-02),1.5967e-01(2.4e-02) +,4.4729e-02(1.2e-02) =,4.4880e-02(1.2e-02) =,4.5810e-02(1.0e-02) =,5.6152e-02(9.5e-03) +,4.4014e-02(1.1e-02) =,*4.3091e-02(1.1e-02) =
