,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
HV,2.6666666666666665,8.0,4.333333333333333,4.0,6.0,5.666666666666667,2.6666666666666665,2.6666666666666665
IGD_ref,2.6666666666666665,8.0,4.666666666666667,3.0,6.666666666666667,6.0,2.6666666666666665,2.3333333333333335
IGDX_ref,2.6666666666666665,8.0,4.333333333333333,4.333333333333333,7.0,4.333333333333333,2.6666666666666665,2.6666666666666665
n_modes,3.0,8.0,4.666666666666667,3.0,4.333333333333333,7.0,3.0,3.0
placement_diversity,3.0,1.0,4.666666666666667,5.333333333333333,5.666666666666667,5.666666666666667,7.0,3.6666666666666665
mean_access,4.333333333333333,8.0,4.333333333333333,4.333333333333333,3.3333333333333335,3.0,3.6666666666666665,5.0
max_access,2.6666666666666665,8.0,4.333333333333333,3.0,5.666666666666667,5.666666666666667,2.6666666666666665,4.0
