,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Guangzhou_p11,*1.7720e+00(4.0e+00),4.8341e+01(1.4e+01) +,4.5706e+00(8.6e+00) =,2.4131e+00(6.3e+00) =,2.9839e+00(4.7e+00) =,4.4799e+00(2.7e+00) +,4.8131e+00(1.0e+01) =,4.7732e+00(9.1e+00) =
Guangzhou_p22,2.0432e-01(3.9e-01),4.8146e+01(1.5e+01) +,3.4465e+00(1.1e+01) +,1.5671e+00(8.0e+00) =,3.0904e+00(9.5e+00) +,2.5554e+00(1.5e+00) +,*1.3609e-01(2.3e-01) =,3.3524e+00(1.2e+01) =
Guangzhou_p33,8.0278e+00(7.4e+00),4.7350e+01(1.3e+01) +,1.3247e+01(1.6e+01) =,*7.2148e+00(9.3e+00) =,1.3999e+01(1.3e+01) =,1.9949e+01(5.4e+00) +,1.0157e+01(1.2e+01) =,1.0937e+01(1.4e+01) =
