,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Macau_p11,1.3178e-01(2.4e-02),2.1496e-01(2.5e-02) +,1.3054e-01(2.3e-02) =,1.3411e-01(1.8e-02) =,1.7406e-01(9.5e-02) +,*1.2950e-01(2.2e-02) =,1.4353e-01(9.0e-02) =,1.3070e-01(1.9e-02) =
Macau_p22,1.5696e-01(1.9e-01),2.8690e-01(1.6e-01) =,2.4845e-01(1.7e-01) =,2.9273e-01(2.4e-01) =,2.8814e-01(2.5e-01) +,*1.1003e-01(6.9e-02) =,2.7840e-01(2.3e-01) =,2.3399e-01(2.1e-01) =
Macau_p33,4.0083e-01(1.9e-01),4.0028e-01(1.2e-01) =,4.2033e-01(1.5e-01) =,3.9320e-01(1.5e-01) =,4.0251e-01(1.3e-01) =,*1.2838e-01(8.0e-02) -,4.5494e-01(1.3e-01) =,4.0288e-01(1.5e-01) =
