,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Shenzhen_p11,1.1900e-01(7.3e-02),2.4743e-01(9.0e-02) +,1.2070e-01(7.4e-02) =,1.2059e-01(7.5e-02) =,1.5732e-01(7.2e-02) =,*7.0033e-02(3.4e-02) =,1.1792e-01(7.1e-02) =,1.0866e-01(7.1e-02) =
Shenzhen_p22,*0.0000e+00(0.0e+00),2.9459e-01(2.2e-01) +,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,2.6377e-02(1.4e-01) =,2.0697e-03(6.4e-03) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
Shenzhen_p33,*5.0108e-02(5.4e-02),3.5363e-01(9.6e-02) +,9.4769e-02(9.1e-02) =,9.7162e-02(9.9e-02) =,1.0927e-01(8.2e-02) +,1.0363e-01(4.9e-02) +,7.3343e-02(8.4e-02) =,8.8376e-02(9.3e-02) =
