,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Shenzhen_p11,1.8332e+00(9.8e-01),3.7048e+01(6.3e+00) +,2.0457e+00(9.2e-01) =,1.6954e+00(9.9e-01) =,3.0121e+00(7.1e-01) +,3.8296e+00(2.1e+00) +,1.6997e+00(9.4e-01) =,*1.6211e+00(9.1e-01) =
Shenzhen_p22,*0.0000e+00(0.0e+00),4.8039e+01(1.3e+01) +,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,1.1804e+00(6.4e+00) =,1.0138e-01(3.9e-01) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
Shenzhen_p33,*1.6373e+00(2.8e+00),4.1274e+01(1.2e+01) +,4.8411e+00(7.1e+00) =,4.3148e+00(5.5e+00) =,6.0421e+00(4.8e+00) +,4.7666e+00(1.3e+00) +,2.9300e+00(4.9e+00) =,4.0237e+00(5.3e+00) =
