,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
MMF10,3.7757e-03(2.1e-04),4.6464e-03(2.4e-04) +,3.3858e-03(1.1e-04) -,*3.2096e-03(1.6e-04) -,3.5798e-03(1.4e-04) -,3.3531e-03(1.3e-04) -,3.4855e-03(1.7e-04) -
MMF11,4.2945e-03(4.2e-04),4.3868e-03(2.7e-04) =,*2.8469e-03(8.4e-05) -,3.2748e-03(2.3e-04) -,3.6875e-03(1.7e-04) -,3.1287e-03(8.5e-05) -,2.9769e-03(1.3e-04) -
MMF12,3.6753e-03(1.8e-04),4.6632e-03(3.0e-04) +,3.3491e-03(1.0e-04) -,*3.1216e-03(1.2e-04) -,3.6862e-03(1.3e-04) =,3.3238e-03(1.0e-04) -,3.4371e-03(1.2e-04) -
