,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Shenzhen_p11,1.2106e+00(8.0e-01),3.6891e+01(6.1e+00) +,1.3074e+00(5.7e-01) =,9.9487e-01(5.9e-01) =,2.2059e+00(6.8e-01) +,3.5178e+00(2.1e+00) +,9.5959e-01(5.4e-01) =,*9.2706e-01(5.3e-01) =
Shenzhen_p22,*0.0000e+00(0.0e+00),4.7997e+01(1.3e+01) +,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,1.1796e+00(6.4e+00) =,1.0055e-01(3.9e-01) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
Shenzhen_p33,*1.4916e+00(2.7e+00),4.1242e+01(1.2e+01) +,4.6121e+00(6.9e+00) =,4.0870e+00(5.3e+00) =,5.2439e+00(4.8e+00) +,4.4932e+00(1.3e+00) +,2.7418e+00(4.7e+00) =,3.8074e+00(5.1e+00) =
