,A0_Full,A1_noDMArchive,A2_noRouteFamily,A3_noEquivFitness,A4_noNiching,A5_noCrossMode,A6_noConstraintAware,A7_noPortfolio,A8_BackboneOnly,A9_noSparsityBonus
MMF1,4.0000e+00(3.4e+00),3.1333e+00(7.2e-01) =,4.0000e+00(3.4e+00) =,*1.4267e+01(7.6e+00) -,5.1333e+00(5.4e+00) =,3.1667e+00(6.4e-01) =,4.0000e+00(3.4e+00) =,3.5333e+00(2.9e+00) =,1.4267e+01(6.8e+00) -,6.7333e+00(6.6e+00) =
MMF2,5.2000e+00(2.2e+00),5.2667e+00(2.1e+00) =,5.2000e+00(2.2e+00) =,4.5000e+00(1.8e+00) =,4.6000e+00(2.6e+00) =,5.2667e+00(2.4e+00) =,5.2000e+00(2.2e+00) =,*5.8000e+00(1.9e+00) =,5.3667e+00(1.8e+00) =,5.5000e+00(1.9e+00) =
MMF3,7.7333e+00(4.9e+00),6.9333e+00(4.7e+00) =,7.7333e+00(4.9e+00) =,6.7333e+00(5.1e+00) =,9.3667e+00(5.7e+00) =,8.1333e+00(5.0e+00) =,7.7333e+00(4.9e+00) =,9.7667e+00(4.7e+00) =,7.8667e+00(3.9e+00) =,*1.0733e+01(6.0e+00) =
MMF4,1.6267e+01(3.5e+00),*1.6367e+01(3.9e+00) =,1.6267e+01(3.5e+00) =,1.0867e+01(4.8e+00) +,1.5167e+01(3.9e+00) =,1.5000e+01(3.8e+00) =,1.6267e+01(3.5e+00) =,1.4367e+01(3.8e+00) =,6.6667e+00(2.1e+00) +,1.4200e+01(3.5e+00) =
MMF5,1.4367e+01(6.2e+00),1.6000e+01(5.6e+00) =,1.4367e+01(6.2e+00) =,*1.8067e+01(4.1e+00) =,1.5533e+01(4.9e+00) =,1.3200e+01(6.6e+00) =,1.4367e+01(6.2e+00) =,1.6033e+01(5.4e+00) =,1.5333e+01(5.4e+00) =,1.4533e+01(6.2e+00) =
MMF6,1.3367e+01(6.9e+00),1.0500e+01(7.2e+00) =,1.3367e+01(6.9e+00) =,*1.7400e+01(2.9e+00) =,1.2733e+01(7.0e+00) =,1.2600e+01(7.4e+00) =,1.3367e+01(6.9e+00) =,1.1900e+01(7.6e+00) =,1.3700e+01(5.6e+00) =,1.5133e+01(6.0e+00) =
MMF7,1.6467e+01(1.5e+00),1.6433e+01(1.7e+00) =,1.6467e+01(1.5e+00) =,1.3767e+01(3.7e+00) =,1.6367e+01(1.5e+00) =,1.6500e+01(1.7e+00) =,1.6467e+01(1.5e+00) =,*1.6567e+01(1.5e+00) =,1.2200e+01(3.1e+00) +,1.6400e+01(1.3e+00) =
MMF8,9.0667e+00(3.9e+00),8.6667e+00(3.5e+00) =,9.0667e+00(3.9e+00) =,3.3667e+00(1.0e+00) +,8.3667e+00(3.2e+00) =,9.4333e+00(4.1e+00) =,9.0667e+00(3.9e+00) =,*1.0167e+01(4.3e+00) =,2.2333e+00(5.6e-01) +,9.3667e+00(3.9e+00) =
