,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Macau_p11,4.0924e+00(3.3e+00),3.9476e+01(9.5e+00) +,3.0802e+00(1.2e+00) =,3.4378e+00(2.4e+00) =,7.9722e+00(4.9e+00) +,1.5385e+01(3.7e+00) +,3.5559e+00(4.3e+00) =,*2.3532e+00(9.2e-01) -
Macau_p22,*1.1077e+01(1.0e+01),5.0076e+01(1.0e+01) +,2.0751e+01(7.9e+00) +,2.0113e+01(8.6e+00) +,2.1096e+01(8.5e+00) +,1.6116e+01(8.3e+00) =,2.0558e+01(7.7e+00) +,1.9146e+01(1.0e+01) +
Macau_p33,7.3164e+00(3.8e+00),4.2843e+01(9.4e+00) +,9.4587e+00(3.7e+00) =,8.4506e+00(3.6e+00) =,1.0135e+01(4.0e+00) =,*5.0883e+00(1.6e+00) -,1.0250e+01(2.8e+00) +,1.0404e+01(3.3e+00) +
