,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
Guangzhou_p11,3.6659e+02(3.9e+00),3.8680e+02(1.1e+01) +,3.6754e+02(6.2e+00) =,*3.6551e+02(2.1e+00) =,3.6593e+02(3.2e+00) =,3.6677e+02(1.3e+00) =,3.6766e+02(6.4e+00) =
Guangzhou_p22,3.5020e+02(1.3e+00),3.7145e+02(8.6e+00) +,3.5344e+02(8.3e+00) +,3.5096e+02(4.6e+00) =,3.4937e+02(6.7e+00) -,*3.4872e+02(1.5e+00) -,3.5267e+02(8.0e+00) =
Guangzhou_p33,3.6808e+02(7.3e+00),3.8985e+02(9.7e+00) +,3.7310e+02(1.2e+01) =,3.6734e+02(6.6e+00) =,3.6928e+02(7.7e+00) =,*3.6458e+02(1.1e+00) =,3.6866e+02(8.9e+00) =
