,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
HV,2.1666666666666665,7.0,3.5,3.5,5.0,4.666666666666667,2.1666666666666665
IGD_ref,2.1666666666666665,7.0,3.5,2.5,5.666666666666667,5.333333333333333,1.8333333333333333
IGDX_ref,2.1666666666666665,7.0,3.1666666666666665,3.8333333333333335,6.0,3.6666666666666665,2.1666666666666665
n_modes,2.5,7.0,3.8333333333333335,2.5,3.6666666666666665,6.0,2.5
placement_diversity,3.0,1.0,4.666666666666667,5.333333333333333,5.0,5.333333333333333,3.6666666666666665
mean_access,3.6666666666666665,7.0,3.6666666666666665,3.6666666666666665,3.0,2.6666666666666665,4.333333333333333
max_access,2.0,7.0,3.6666666666666665,2.3333333333333335,4.666666666666667,5.0,3.3333333333333335
