,vs,win,tie,loss
0,CPDEA,1,8,1
1,DN_NSGAII,1,9,0
2,HREA,1,9,0
3,MMEA_WI,1,9,0
4,MO_Ring_PSO_SCD,3,7,0
5,OmniOptimizer,1,9,0
