,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Macau_p11,9.1122e-01(3.4e-02),4.8226e-01(1.3e-01) +,9.2293e-01(1.3e-02) =,9.1499e-01(2.4e-02) =,8.8336e-01(9.0e-02) =,8.4558e-01(1.9e-02) +,9.0714e-01(6.5e-02) =,*9.2445e-01(1.2e-02) =
Macau_p22,*9.3464e-01(4.3e-02),2.3494e-01(1.6e-01) +,8.9353e-01(2.9e-02) +,8.8761e-01(3.7e-02) +,8.9821e-01(4.6e-02) +,8.7268e-01(2.4e-02) +,8.8829e-01(3.7e-02) +,9.0031e-01(4.7e-02) =
Macau_p33,4.5723e-01(7.2e-02),6.1898e-03(2.9e-02) +,4.0939e-01(8.2e-02) =,4.3333e-01(7.9e-02) =,4.0647e-01(7.9e-02) =,*4.8620e-01(1.6e-02) =,4.0928e-01(6.1e-02) =,3.9919e-01(7.1e-02) =
