backbone,problem,median_base,median_wfs,p_raw,p_holm,verdict
DN_NSGAII,MMF1,0.04275911321008366,0.04193767864605621,0.15794767439365387,0.6317906975746155,tie
DN_NSGAII,MMF2,0.03506914462615786,0.039201830507897696,0.8078304156661034,0.9854095727205276,tie
DN_NSGAII,MMF3,0.03532723297326758,0.028459590183762783,0.42795460671186447,0.9854095727205276,tie
DN_NSGAII,MMF4,0.08192122626700185,0.03784094672834891,4.7124922275543213e-07,3.298744559288025e-06,win
DN_NSGAII,MMF5,0.1135304741101328,0.1028625586171302,3.7904828786849976e-06,2.2742897272109985e-05,win
DN_NSGAII,MMF6,0.0958008084241264,0.08685556770131245,0.00011058151721954346,0.0005529075860977173,win
DN_NSGAII,MMF7,0.022081808251238188,0.021887025376157998,0.3284698575735092,0.9854095727205276,tie
DN_NSGAII,MMF8,0.1700064778796651,0.068897899459235,9.313225746154785e-09,7.450580596923828e-08,win
Omni,MMF1,0.04746321936029908,0.046708866773113526,0.15794767439365387,0.6317906975746155,tie
Omni,MMF2,0.032782368666073466,0.03051845680916302,0.17719271034002304,0.6317906975746155,tie
Omni,MMF3,0.03532918835400151,0.038241475417303966,0.5291051845997572,1.0,tie
Omni,MMF4,0.08116881513184472,0.049680423561872286,1.4193356037139893e-06,9.935349225997925e-06,win
Omni,MMF5,0.12215441547275199,0.11370582280646968,0.03098480962216854,0.1549240481108427,tie
Omni,MMF6,0.10529864955974838,0.09316386730884929,0.0029870010912418365,0.01792200654745102,win
Omni,MMF7,0.022718028002499165,0.022537204057792984,0.935398668050766,1.0,tie
Omni,MMF8,0.1950329932239834,0.09813467001637008,3.1478703022003174e-07,2.518296241760254e-06,win
MORingPSO,MMF1,0.0437007358127994,0.042794719752940955,6.917864084243774e-06,5.5342912673950195e-05,win
MORingPSO,MMF2,0.10736167192382294,0.10736167192382294,1.0,1.0,tie
MORingPSO,MMF3,0.08079341325432585,0.08079341325432585,1.0,1.0,tie
MORingPSO,MMF4,0.023642035524509778,0.022326570171957473,7.994472980499268e-06,5.596131086349487e-05,win
MORingPSO,MMF5,0.07937680306878397,0.07657542447728782,0.00023163668811321259,0.001158183440566063,win
MORingPSO,MMF6,0.06481724723329543,0.062367934345610804,2.366676926612854e-05,0.00014200061559677124,win
MORingPSO,MMF7,0.020704212529597976,0.020716727307738506,0.7921590935438871,1.0,tie
MORingPSO,MMF8,0.06188862789218953,0.0608322509007609,0.00031275488436222076,0.001251019537448883,win
