,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Shenzhen_p11,9.1177e-01(2.3e-02),1.1757e-01(9.3e-02) +,9.0948e-01(1.7e-02) =,9.1706e-01(2.1e-02) =,9.0393e-01(2.6e-02) =,8.7461e-01(2.1e-02) +,9.1646e-01(1.8e-02) =,*9.1710e-01(1.6e-02) =
Shenzhen_p22,*2.1000e-01(5.6e-17),0.0000e+00(0.0e+00) +,2.1000e-01(5.6e-17) =,2.1000e-01(5.6e-17) =,2.0300e-01(3.8e-02) =,1.8745e-01(5.1e-02) =,2.1000e-01(5.6e-17) =,2.1000e-01(5.6e-17) =
Shenzhen_p33,*7.7527e-01(5.5e-02),1.1952e-01(1.4e-01) +,7.3215e-01(1.0e-01) =,7.2490e-01(1.0e-01) =,7.2966e-01(1.0e-01) =,7.4741e-01(3.2e-02) +,7.4999e-01(9.2e-02) =,7.3249e-01(9.9e-02) =
