,vs,win,tie,loss
0,CPDEA,3,0,0
1,DN_NSGAII,3,0,0
2,HREA,3,0,0
3,MMEA_WI,0,0,3
4,MO_Ring_PSO_SCD,0,1,2
5,OmniOptimizer,0,1,2
