,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Guangzhou_p11,*1.3166e+00(3.9e+00),4.8683e+01(1.5e+01) +,4.0202e+00(8.7e+00) =,1.8868e+00(6.3e+00) =,2.4100e+00(4.5e+00) =,3.6516e+00(2.6e+00) +,4.2535e+00(1.0e+01) =,4.2743e+00(9.2e+00) =
Guangzhou_p22,2.0467e-01(4.0e-01),4.8198e+01(1.4e+01) +,3.4868e+00(1.1e+01) +,1.5666e+00(8.1e+00) =,2.8047e+00(9.5e+00) +,2.6171e+00(1.5e+00) +,*1.2169e-01(2.3e-01) =,3.3431e+00(1.2e+01) =
Guangzhou_p33,7.6412e+00(8.2e+00),4.8449e+01(1.3e+01) +,1.2975e+01(1.7e+01) =,*6.4262e+00(9.9e+00) =,1.2613e+01(1.5e+01) =,2.0752e+01(5.9e+00) +,9.5244e+00(1.2e+01) =,1.0309e+01(1.5e+01) =
