,vs,win,tie,loss
0,CPDEA,3,5,2
1,DN_NSGAII,3,7,0
2,HREA,3,6,1
3,MMEA_WI,3,6,1
4,MO_Ring_PSO_SCD,5,4,1
5,OmniOptimizer,3,7,0
