,F5_Full,F0_NSGAII,F1_plusE,F2_plusS_core,F3_plusPortfolio,F4_plusCrossMode
MMF1,3.3363e-03(3.1e-04),*2.7496e-03(2.5e-04) -,3.1427e-03(4.3e-04) =,3.2074e-03(3.3e-04) =,3.2942e-03(3.3e-04) =,3.3435e-03(3.2e-04) =
MMF2,3.2952e-03(2.2e-04),3.2208e-03(1.9e-04) =,3.0887e-03(2.1e-04) -,*3.0093e-03(2.6e-04) -,3.1894e-03(1.5e-04) =,3.2448e-03(2.0e-04) =
MMF3,3.3462e-03(2.2e-04),3.1058e-03(1.8e-04) -,3.0664e-03(2.1e-04) -,*3.0492e-03(1.9e-04) -,3.2576e-03(2.5e-04) =,3.2993e-03(2.1e-04) =
MMF4,2.9771e-03(3.0e-04),*2.7428e-03(2.1e-04) -,3.0566e-03(2.0e-04) =,3.0075e-03(3.0e-04) =,3.0779e-03(2.4e-04) =,2.9574e-03(2.4e-04) =
MMF5,3.3358e-03(3.9e-04),*2.7863e-03(3.0e-04) -,3.2084e-03(4.3e-04) =,3.3142e-03(3.7e-04) =,3.4576e-03(4.0e-04) =,3.2856e-03(3.7e-04) =
MMF6,3.1857e-03(3.6e-04),*2.8117e-03(2.8e-04) -,3.0962e-03(4.5e-04) =,3.2654e-03(3.8e-04) =,3.2653e-03(4.3e-04) =,3.1914e-03(3.9e-04) =
MMF7,3.5944e-03(2.0e-04),*2.7402e-03(1.6e-04) -,3.5667e-03(2.2e-04) =,3.6585e-03(3.0e-04) =,3.5539e-03(3.2e-04) =,3.5825e-03(2.3e-04) =
MMF8,3.0122e-03(1.9e-04),2.9991e-03(2.3e-04) =,2.9004e-03(2.2e-04) =,3.0176e-03(2.0e-04) =,*2.8737e-03(1.6e-04) =,2.9721e-03(1.9e-04) =
