,EARS_MMOEA,CPDEA,DN_NSGAII,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
HV,1.6666666666666667,3.1666666666666665,4.166666666666667,3.6666666666666665,3.8333333333333335,4.5
IGD_ref,2.3333333333333335,1.0,5.0,5.333333333333333,2.6666666666666665,4.666666666666667
feasible_ratio,3.5,3.5,3.5,3.5,3.5,3.5
n_route_families,4.5,4.666666666666667,4.5,4.0,1.3333333333333333,2.0
route_family_diversity,4.333333333333333,4.666666666666667,5.0,1.6666666666666667,3.0,2.3333333333333335
total_distance,2.0,1.0,5.0,5.333333333333333,3.0,4.666666666666667
risk_exposure,2.3333333333333335,1.0,5.0,5.0,2.6666666666666665,5.0
