,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
HongKong_p11,6.6311e-02(2.0e-02),1.9885e-01(4.7e-02) +,8.3355e-02(3.8e-02) =,7.9414e-02(3.8e-02) =,8.4101e-02(2.6e-02) =,*6.1835e-02(1.1e-02) =,8.4739e-02(3.7e-02) =,7.7371e-02(3.0e-02) =
HongKong_p22,6.6145e-03(6.0e-03),1.5987e-01(3.6e-02) +,7.2566e-03(5.0e-03) =,5.1431e-03(6.4e-03) =,1.7432e-02(2.8e-03) +,2.7420e-02(1.7e-02) +,*3.3519e-03(5.8e-03) =,4.3976e-03(5.2e-03) =
HongKong_p33,3.8170e-02(2.2e-02),1.5939e-01(2.7e-02) +,3.7059e-02(2.2e-02) =,3.5412e-02(2.2e-02) =,3.5405e-02(1.7e-02) =,5.3909e-02(1.2e-02) +,3.6949e-02(2.0e-02) =,*3.2846e-02(2.1e-02) =
