,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Macau_p11,1.4697e-01(4.5e-02),2.0957e-01(3.2e-02) +,1.4170e-01(4.5e-02) =,1.4776e-01(4.2e-02) =,1.9569e-01(9.3e-02) =,*1.1551e-01(3.6e-02) -,1.5796e-01(9.4e-02) =,1.4577e-01(4.2e-02) =
Macau_p22,1.9142e-01(1.8e-01),3.0722e-01(1.5e-01) =,3.0796e-01(1.4e-01) +,3.2935e-01(2.0e-01) +,3.2883e-01(2.1e-01) +,*1.4309e-01(9.7e-02) =,3.2900e-01(1.9e-01) +,2.8220e-01(1.9e-01) =
Macau_p33,3.0718e-01(1.3e-01),3.3942e-01(9.6e-02) =,3.7515e-01(9.2e-02) =,3.4221e-01(1.1e-01) =,3.9976e-01(7.2e-02) +,*1.0998e-01(4.9e-02) -,3.9103e-01(5.6e-02) =,3.7264e-01(9.9e-02) =
