,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
HongKong_p11,*1.9700e+01(7.8e-01),2.3000e+00(4.6e-01) +,1.8300e+01(2.2e+00) +,1.8700e+01(4.5e+00) =,1.4567e+01(1.7e+00) +,5.0000e+00(3.1e+00) +,1.9200e+01(3.2e+00) =
HongKong_p22,1.3167e+01(2.6e+00),1.9000e+00(4.7e-01) +,1.2833e+01(2.0e+00) =,1.4533e+01(2.6e+00) =,7.8667e+00(5.6e-01) +,6.4667e+00(3.4e+00) +,*1.4867e+01(1.6e+00) -
HongKong_p33,9.7667e+00(2.7e+00),1.9000e+00(6.0e-01) +,9.7000e+00(2.8e+00) =,1.0567e+01(3.0e+00) =,6.3333e+00(1.8e+00) +,5.5000e+00(2.5e+00) +,*1.1600e+01(3.1e+00) =
