,F5_Full,F0_NSGAII,F1_plusE,F2_plusS_core,F3_plusPortfolio,F4_plusCrossMode
MMF1,3.9745e-02(1.1e-03),8.4252e-02(1.4e-02) +,4.1873e-02(1.7e-03) +,4.1589e-02(1.9e-03) +,*3.9603e-02(1.2e-03) =,3.9737e-02(1.3e-03) =
MMF2,1.0931e-02(5.5e-03),4.8319e-02(4.4e-02) +,2.3283e-02(2.1e-02) +,2.4504e-02(1.6e-02) +,*8.9933e-03(2.4e-03) =,1.0872e-02(5.5e-03) =
MMF3,1.5632e-02(1.1e-02),3.3680e-02(1.6e-02) +,2.4366e-02(1.7e-02) =,2.2866e-02(1.8e-02) =,*1.5391e-02(7.0e-03) =,1.5842e-02(1.2e-02) =
MMF4,*2.3501e-02(2.0e-03),1.5824e-01(4.3e-02) +,6.2752e-02(1.4e-02) +,3.9364e-02(7.8e-03) +,2.3973e-02(2.3e-03) =,2.3665e-02(2.0e-03) =
MMF5,7.4258e-02(3.5e-03),1.4762e-01(2.2e-02) +,1.0455e-01(9.0e-03) +,9.4067e-02(9.8e-03) +,*7.4040e-02(3.2e-03) =,7.4072e-02(4.1e-03) =
MMF6,6.6811e-02(3.8e-03),1.2795e-01(1.9e-02) +,9.4577e-02(9.8e-03) +,8.1230e-02(6.5e-03) +,*6.5721e-02(3.5e-03) =,6.6437e-02(3.3e-03) =
MMF7,2.1026e-02(1.2e-03),4.7902e-02(1.2e-02) +,2.1957e-02(1.3e-03) =,2.1339e-02(1.2e-03) =,2.1554e-02(1.4e-03) =,*2.0974e-02(1.4e-03) =
MMF8,*4.6180e-02(5.6e-03),1.5061e+00(6.7e-01) +,1.1023e-01(4.7e-02) +,7.4496e-02(2.9e-02) +,4.7863e-02(9.8e-03) =,4.6414e-02(6.0e-03) =
