,vs,win,tie,loss
0,CPDEA,3,0,0
1,DN_NSGAII,1,2,0
2,HREA,0,2,1
3,MMEA_WI,3,0,0
4,MO_Ring_PSO_SCD,3,0,0
5,OmniOptimizer,0,2,1
