,EARS_MMOEA,CPDEA,DN_NSGAII,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
Macau_s1,1.0333e+00(1.8e-01),1.0000e+00(0.0e+00) =,1.0333e+00(1.8e-01) =,1.1667e+00(3.7e-01) =,*1.5333e+00(5.6e-01) -,1.2000e+00(4.0e-01) =
Macau_s2,1.1667e+00(3.7e-01),1.0667e+00(2.5e-01) =,1.2333e+00(4.2e-01) =,1.2000e+00(4.0e-01) =,1.2667e+00(5.1e-01) =,*1.3000e+00(4.6e-01) =
Macau_s3,1.1333e+00(3.4e-01),1.2000e+00(4.0e-01) =,1.0333e+00(1.8e-01) =,1.1000e+00(3.0e-01) =,*1.9667e+00(8.4e-01) -,1.1667e+00(3.7e-01) =
