,A0_Full,A1_noDMArchive,A2_noRouteFamily,A3_noEquivFitness,A4_noNiching,A5_noCrossMode,A6_noConstraintAware,A7_noPortfolio,A8_BackboneOnly,A9_noSparsityBonus
MMF1,7.4683e-01(1.2e-02),*7.4818e-01(1.4e-02) =,7.4683e-01(1.2e-02) =,6.5667e-01(2.4e-02) +,7.4785e-01(1.2e-02) =,7.4722e-01(1.3e-02) =,7.4683e-01(1.2e-02) =,7.3953e-01(1.2e-02) =,5.7938e-01(2.7e-02) +,7.3345e-01(1.4e-02) =
MMF2,9.6088e-01(3.8e-02),9.6070e-01(3.8e-02) =,9.6088e-01(3.8e-02) =,8.2395e-01(8.1e-02) +,8.8657e-01(8.0e-02) +,*9.7473e-01(2.3e-02) =,9.6088e-01(3.8e-02) =,8.7123e-01(8.6e-02) +,7.5953e-01(7.8e-02) +,9.5007e-01(5.3e-02) =
MMF3,*9.1487e-01(5.5e-02),9.1260e-01(5.8e-02) =,9.1487e-01(5.5e-02) =,8.1007e-01(7.6e-02) +,8.6705e-01(7.6e-02) =,9.0488e-01(5.5e-02) =,9.1487e-01(5.5e-02) =,8.2583e-01(8.2e-02) +,7.5505e-01(5.3e-02) +,9.0893e-01(7.1e-02) =
MMF4,9.2393e-01(2.3e-02),9.2140e-01(2.3e-02) =,9.2393e-01(2.3e-02) =,7.4153e-01(7.3e-02) +,*9.2412e-01(2.3e-02) =,9.1573e-01(2.3e-02) =,9.2393e-01(2.3e-02) =,8.1558e-01(3.5e-02) +,5.1078e-01(5.6e-02) +,8.8353e-01(3.3e-02) +
MMF5,6.6730e-01(1.6e-02),*6.6842e-01(1.7e-02) =,6.6730e-01(1.6e-02) =,5.7998e-01(3.1e-02) +,6.6065e-01(1.6e-02) =,6.6365e-01(1.9e-02) =,6.6730e-01(1.6e-02) =,5.9380e-01(2.3e-02) +,4.4337e-01(2.8e-02) +,6.3828e-01(2.4e-02) +
MMF6,6.1678e-01(2.0e-02),6.1703e-01(2.0e-02) =,6.1678e-01(2.0e-02) =,5.5415e-01(2.4e-02) +,*6.2153e-01(1.5e-02) =,6.1405e-01(1.5e-02) =,6.1678e-01(2.0e-02) =,5.5817e-01(2.3e-02) +,4.5367e-01(2.9e-02) +,6.0412e-01(2.0e-02) =
MMF7,9.1957e-01(1.5e-02),*9.2187e-01(1.4e-02) =,9.1957e-01(1.5e-02) =,8.2315e-01(2.9e-02) +,9.1852e-01(1.8e-02) =,9.1895e-01(1.4e-02) =,9.1957e-01(1.5e-02) =,9.1800e-01(1.5e-02) =,7.5538e-01(3.6e-02) +,9.0805e-01(2.1e-02) =
MMF8,*9.8297e-01(1.8e-02),9.8092e-01(1.9e-02) =,9.8297e-01(1.8e-02) =,5.3523e-01(1.3e-01) +,9.8280e-01(2.2e-02) =,9.7643e-01(2.5e-02) =,9.8297e-01(1.8e-02) =,9.3600e-01(4.5e-02) +,3.2948e-01(8.7e-02) +,9.5595e-01(3.2e-02) =
