,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
Guangzhou_p11,*7.9816e-02(7.9e-02),3.2316e-01(1.2e-01) +,1.2620e-01(1.6e-01) =,9.2136e-02(1.3e-01) =,1.0820e-01(1.1e-01) =,1.0976e-01(2.6e-02) +,1.4713e-01(2.0e-01) =
Guangzhou_p22,*2.7431e-02(4.3e-03),2.3117e-01(9.2e-02) +,6.9371e-02(1.6e-01) +,3.8390e-02(6.4e-02) =,6.8790e-02(1.5e-01) +,4.9900e-02(7.7e-03) +,7.0535e-02(1.6e-01) =
Guangzhou_p33,*1.0646e-01(7.6e-02),2.6756e-01(8.7e-02) +,2.2910e-01(2.4e-01) +,1.4072e-01(1.5e-01) =,2.1314e-01(2.3e-01) +,1.2501e-01(1.1e-02) +,1.9104e-01(2.1e-01) =
