backbone,comparison,metric,primary,win,tie,loss,mean_rel_improvement_%,min_holm_p
DN_NSGAII,DN_NSGAII_WFS vs DN_NSGAII_INSORT,IGDX,True,8,0,0,89.73081439204336,1.4901161193847656e-08
DN_NSGAII,DN_NSGAII_WFS vs DN_NSGAII_INSORT,PSP,True,8,0,0,6229.026317257201,1.4901161193847656e-08
DN_NSGAII,DN_NSGAII_WFS vs DN_NSGAII_INSORT,IGD,False,8,0,0,99.34799305596528,1.4901161193847656e-08
DN_NSGAII,DN_NSGAII_WFS vs DN_NSGAII_INSORT,HV,False,8,0,0,265.3192035509015,1.4901161193847656e-08
Omni,Omni_WFS vs Omni_INSORT,IGDX,True,8,0,0,88.25861083086161,1.4901161193847656e-08
Omni,Omni_WFS vs Omni_INSORT,PSP,True,8,0,0,5700.143174619376,1.4901161193847656e-08
Omni,Omni_WFS vs Omni_INSORT,IGD,False,8,0,0,99.4441249385932,1.4901161193847656e-08
Omni,Omni_WFS vs Omni_INSORT,HV,False,8,0,0,259.1378678343037,1.4901161193847656e-08
