,vs,win,tie,loss
0,CPDEA,1,2,0
1,DN_NSGAII,1,2,0
2,HREA,0,3,0
3,MMEA_WI,2,1,0
4,MO_Ring_PSO_SCD,1,0,2
5,OmniOptimizer,0,3,0
