,EARS_MMOEA,CPDEA,DN_NSGAII,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
Macau_s1,4.0333e-02(2.2e-01),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,*1.6406e+02(8.8e+02) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
Macau_s2,2.1911e-01(2.5e-01),*3.7063e-01(2.3e-01) =,1.1184e-02(4.9e-02) +,0.0000e+00(0.0e+00) +,1.8864e-01(1.8e-01) =,9.1849e-03(4.9e-02) +
Macau_s3,*5.9777e-01(3.2e+00),0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =,0.0000e+00(0.0e+00) =
