,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
Guangzhou_p11,7.0000e+00(1.9e+00),1.9000e+00(6.5e-01) +,6.9000e+00(1.8e+00) =,6.7000e+00(7.8e-01) =,5.6000e+00(9.2e-01) +,4.0000e+00(2.3e+00) +,*7.7333e+00(3.2e+00) =
Guangzhou_p22,1.4133e+01(8.8e-01),1.9000e+00(6.0e-01) +,1.2700e+01(1.8e+00) +,*1.4600e+01(1.3e+00) =,1.0567e+01(1.5e+00) +,6.3333e+00(4.9e+00) +,1.4500e+01(1.3e+00) =
Guangzhou_p33,*1.0567e+01(1.9e+00),2.0000e+00(6.3e-01) +,1.0533e+01(1.7e+00) =,1.0400e+01(1.7e+00) =,7.0667e+00(1.6e+00) +,4.4333e+00(1.9e+00) +,1.0267e+01(1.3e+00) =
