,EARS_MMOEA,CPDEA,DN_NSGAII,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
Macau_s1,*1.0000e+00(0.0e+00),1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =
Macau_s2,*1.0000e+00(0.0e+00),1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =
Macau_s3,*1.0000e+00(0.0e+00),1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =,1.0000e+00(0.0e+00) =
