,F5_Full,F0_NSGAII,F1_plusE,F2_plusS_core,F3_plusPortfolio,F4_plusCrossMode
MMF1,8.7273e-01(2.1e-04),*8.7308e-01(2.3e-04) -,8.7296e-01(2.7e-04) =,8.7282e-01(3.2e-04) =,8.7269e-01(3.0e-04) =,8.7275e-01(2.1e-04) =
MMF2,8.7212e-01(2.9e-04),8.7222e-01(1.9e-03) -,*8.7273e-01(1.7e-04) -,8.7242e-01(1.1e-03) =,8.7232e-01(2.6e-04) =,8.7218e-01(2.6e-04) =
MMF3,8.7231e-01(1.7e-04),8.7264e-01(4.4e-04) -,8.7264e-01(4.6e-04) -,*8.7275e-01(1.8e-04) -,8.7240e-01(1.9e-04) =,8.7233e-01(2.0e-04) =
MMF4,5.3940e-01(2.7e-04),*5.3975e-01(1.5e-04) -,5.3944e-01(2.3e-04) =,5.3946e-01(2.1e-04) =,5.3940e-01(1.9e-04) =,5.3943e-01(2.3e-04) =
MMF5,8.7283e-01(2.1e-04),*8.7305e-01(1.7e-04) -,8.7292e-01(2.3e-04) =,8.7286e-01(1.8e-04) =,8.7273e-01(2.2e-04) =,8.7282e-01(1.8e-04) =
MMF6,8.7282e-01(2.4e-04),*8.7308e-01(1.3e-04) -,8.7297e-01(1.9e-04) =,8.7291e-01(1.7e-04) =,8.7296e-01(1.4e-04) =,8.7287e-01(2.6e-04) =
MMF7,8.7254e-01(2.4e-04),*8.7312e-01(1.2e-04) -,8.7258e-01(1.9e-04) =,8.7251e-01(2.4e-04) =,8.7266e-01(1.7e-04) =,8.7264e-01(2.0e-04) -
MMF8,4.2149e-01(1.3e-04),*4.2168e-01(1.1e-04) -,4.2154e-01(1.1e-04) =,4.2152e-01(1.6e-04) =,4.2152e-01(1.6e-04) =,4.2149e-01(1.5e-04) =
