,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Macau_p11,8.4411e-01(3.2e-02),3.5146e-01(1.5e-01) +,8.5372e-01(1.4e-02) =,8.5065e-01(2.0e-02) =,8.1169e-01(1.2e-01) =,7.6400e-01(2.3e-02) +,8.3891e-01(8.7e-02) =,*8.5644e-01(1.3e-02) =
Macau_p22,*9.3464e-01(4.3e-02),2.3494e-01(1.6e-01) +,8.9353e-01(2.9e-02) +,8.8761e-01(3.7e-02) +,8.9821e-01(4.6e-02) +,8.7268e-01(2.4e-02) +,8.8829e-01(3.7e-02) +,9.0031e-01(4.7e-02) =
Macau_p33,4.5723e-01(7.2e-02),6.1898e-03(2.9e-02) +,4.0939e-01(8.2e-02) =,4.3333e-01(7.9e-02) =,4.0647e-01(7.9e-02) =,*4.8620e-01(1.6e-02) =,4.0928e-01(6.1e-02) =,3.9919e-01(7.1e-02) =
