,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
HongKong_p11,6.7423e+02(1.8e+01),7.1960e+02(3.0e+01) +,6.5977e+02(1.8e+01) =,6.8072e+02(1.7e+01) =,6.8875e+02(2.3e+01) =,*6.2219e+02(3.6e+01) -,6.8613e+02(2.6e+01) =,6.7636e+02(2.3e+01) =
HongKong_p22,5.7505e+02(1.1e+01),6.5730e+02(5.8e+01) +,5.6555e+02(1.2e+01) =,5.5849e+02(1.3e+01) -,5.7232e+02(6.3e+00) =,5.5348e+02(1.4e+01) -,*5.3659e+02(1.7e+01) -,5.6079e+02(9.3e+00) -
HongKong_p33,5.9709e+02(4.9e+01),6.7935e+02(6.3e+01) +,5.9636e+02(4.7e+01) =,5.7116e+02(2.3e+01) =,*5.6171e+02(5.8e+00) -,5.6956e+02(7.2e+00) =,5.7459e+02(2.5e+01) =,5.8092e+02(3.1e+01) =
