,vs,win,tie,loss
0,CPDEA,0,7,3
1,DN_NSGAII,1,5,4
2,HREA,1,4,5
3,MMEA_WI,1,6,3
4,MO_Ring_PSO_SCD,4,5,1
5,OmniOptimizer,1,6,3
