,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
Macau_p11,3.0754e-01(1.6e-01),*5.8610e-01(1.6e-01) -,3.0300e-01(1.7e-01) =,2.8543e-01(1.6e-01) =,2.5536e-01(1.5e-01) =,2.8857e-01(1.5e-01) =,2.6313e-01(1.4e-01) =,2.8588e-01(1.7e-01) =
Macau_p22,3.9011e-01(2.1e-01),*6.2899e-01(2.0e-01) -,1.8602e-01(1.8e-01) +,2.2692e-01(1.8e-01) =,2.1548e-01(2.0e-01) =,1.8482e-01(1.4e-01) +,1.6360e-01(1.6e-01) +,2.4914e-01(2.2e-01) =
Macau_p33,2.2136e-01(1.7e-01),*6.2356e-01(1.9e-01) -,2.2535e-01(1.4e-01) =,2.3594e-01(1.4e-01) =,2.3723e-01(1.4e-01) =,3.1909e-01(1.6e-01) =,1.6484e-01(1.2e-01) =,2.3613e-01(1.5e-01) =
