,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
Shenzhen_p11,2.6611e-01(1.4e-01),*5.9713e-01(1.1e-01) -,2.3767e-01(1.5e-01) =,2.5648e-01(1.5e-01) =,1.5989e-01(1.2e-01) +,1.9375e-01(8.8e-02) =,2.7898e-01(1.4e-01) =
Shenzhen_p22,1.5069e-02(1.6e-04),*6.2119e-01(2.0e-01) -,1.4771e-02(7.1e-04) =,1.4570e-02(7.0e-04) +,2.5601e-02(5.7e-02) =,1.6448e-02(2.7e-02) +,1.4580e-02(5.8e-04) +
Shenzhen_p33,5.2449e-01(4.6e-02),*7.1584e-01(9.9e-02) -,4.7957e-01(7.3e-02) =,4.7405e-01(7.8e-02) =,4.3575e-01(6.0e-02) +,3.7792e-01(8.6e-02) +,4.9044e-01(8.1e-02) =
