,vs,win,tie,loss
0,A1_noDMArchive,0,8,0
1,A2_noRouteFamily,0,8,0
2,A3_noEquivFitness,8,0,0
3,A4_noNiching,1,7,0
4,A5_noCrossMode,0,8,0
5,A6_noConstraintAware,0,8,0
6,A7_noPortfolio,6,2,0
7,A8_BackboneOnly,8,0,0
8,A9_noSparsityBonus,2,6,0
