,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
IGD,1.7,4.7,3.75,4.9,4.3,5.6,3.05
IGDplus,1.4,5.1,3.75,4.8,4.3,5.5,3.15
HV,1.5,5.3,3.7,4.4,4.1,6.0,3.0
IGDX,2.4,2.7,3.75,5.4,5.9,3.7,4.15
PSP,3.0,3.1,4.1,4.4,4.4,4.5,4.5
mode_coverage,2.85,3.65,3.9,4.65,4.65,4.5,3.8
n_modes,5.4,3.8,2.85,3.0,3.95,5.75,3.25
spacing,2.3,6.4,3.95,4.3,3.3,5.1,2.65
