,vs,win,tie,loss
0,CPDEA,4,4,2
1,DN_NSGAII,7,3,0
2,HREA,7,3,0
3,MMEA_WI,7,3,0
4,MO_Ring_PSO_SCD,7,0,3
5,OmniOptimizer,6,4,0
