,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
HV,1.3333333333333333,7.0,4.0,4.333333333333333,4.333333333333333,1.6666666666666667,5.333333333333333
IGD_ref,1.3333333333333333,7.0,3.0,3.6666666666666665,5.333333333333333,3.0,4.666666666666667
IGDX_ref,1.6666666666666667,4.0,6.0,3.3333333333333335,5.333333333333333,1.3333333333333333,6.333333333333333
n_modes,2.3333333333333335,7.0,4.0,1.6666666666666667,5.0,6.0,2.0
placement_diversity,4.666666666666667,1.0,4.333333333333333,3.3333333333333335,6.0,4.666666666666667,4.0
mean_access,4.0,7.0,3.3333333333333335,4.666666666666667,3.0,1.0,5.0
max_access,3.3333333333333335,7.0,4.333333333333333,3.3333333333333335,1.6666666666666667,3.3333333333333335,5.0
