,vs,win,tie,loss
0,CPDEA,0,2,1
1,DN_NSGAII,1,2,0
2,HREA,1,2,0
3,MMEA_WI,0,3,0
4,MO_Ring_PSO_SCD,0,3,0
5,OmniOptimizer,1,2,0
