,A0_Full,A1_noDMArchive,A2_noRouteFamily,A3_noEquivFitness,A4_noNiching,A5_noCrossMode,A6_noConstraintAware,A7_noPortfolio,A8_BackboneOnly,A9_noSparsityBonus
MMF1,8.7273e-01(2.1e-04),8.7275e-01(2.1e-04) =,8.7273e-01(2.1e-04) =,8.7307e-01(1.2e-04) -,8.7272e-01(2.4e-04) =,8.7270e-01(3.0e-04) =,8.7273e-01(2.1e-04) =,8.7284e-01(2.3e-04) =,*8.7308e-01(2.3e-04) -,8.7292e-01(2.0e-04) =
MMF2,8.7212e-01(2.9e-04),8.7218e-01(2.6e-04) =,8.7212e-01(2.9e-04) =,8.7228e-01(3.4e-04) =,8.7157e-01(8.1e-04) +,*8.7231e-01(2.9e-04) =,8.7212e-01(2.9e-04) =,8.7194e-01(3.0e-03) -,8.7222e-01(1.9e-03) =,8.7224e-01(2.5e-04) =
MMF3,8.7231e-01(1.7e-04),8.7233e-01(2.0e-04) =,8.7231e-01(1.7e-04) =,8.7244e-01(2.6e-04) =,8.7190e-01(4.4e-04) +,8.7235e-01(2.4e-04) =,8.7231e-01(1.7e-04) =,8.7208e-01(2.1e-03) =,*8.7264e-01(4.4e-04) =,8.7224e-01(2.6e-04) =
MMF4,5.3940e-01(2.7e-04),5.3943e-01(2.3e-04) =,5.3940e-01(2.7e-04) =,5.3971e-01(1.6e-04) -,5.3944e-01(1.9e-04) =,5.3939e-01(1.8e-04) =,5.3940e-01(2.7e-04) =,5.3940e-01(2.3e-04) =,*5.3975e-01(1.5e-04) -,5.3947e-01(2.4e-04) =
MMF5,8.7283e-01(2.1e-04),8.7282e-01(1.8e-04) =,8.7283e-01(2.1e-04) =,8.7305e-01(1.4e-04) -,8.7280e-01(1.8e-04) =,8.7269e-01(2.5e-04) =,8.7283e-01(2.1e-04) =,8.7284e-01(2.2e-04) =,*8.7305e-01(1.7e-04) -,8.7294e-01(1.7e-04) =
MMF6,8.7282e-01(2.4e-04),8.7287e-01(2.6e-04) =,8.7282e-01(2.4e-04) =,8.7307e-01(1.4e-04) -,8.7280e-01(1.9e-04) =,8.7287e-01(2.0e-04) =,8.7282e-01(2.4e-04) =,8.7284e-01(2.1e-04) =,*8.7308e-01(1.3e-04) -,8.7289e-01(1.8e-04) =
MMF7,8.7254e-01(2.4e-04),8.7264e-01(2.0e-04) -,8.7254e-01(2.4e-04) =,8.7304e-01(1.7e-04) -,8.7254e-01(2.3e-04) =,8.7260e-01(2.0e-04) =,8.7254e-01(2.4e-04) =,8.7254e-01(1.9e-04) =,*8.7312e-01(1.2e-04) -,8.7260e-01(2.0e-04) =
MMF8,4.2149e-01(1.3e-04),4.2149e-01(1.5e-04) =,4.2149e-01(1.3e-04) =,4.2160e-01(1.1e-04) =,4.2143e-01(1.3e-04) =,4.2149e-01(1.5e-04) =,4.2149e-01(1.3e-04) =,4.2153e-01(9.7e-05) =,*4.2168e-01(1.1e-04) -,4.2145e-01(1.3e-04) =
