,EARS_MMOEA,CPDEA,DN_NSGAII,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
Macau_s1,7.8753e+03(7.6e+02),*7.5022e+03(4.3e+02) =,9.6909e+03(9.4e+02) +,9.6043e+03(1.2e+03) +,8.3389e+03(6.5e+02) +,9.6176e+03(1.0e+03) +
Macau_s2,9.9857e+03(7.8e+02),*9.4400e+03(1.3e+02) -,1.1751e+04(1.1e+03) +,1.1801e+04(7.9e+02) +,9.5953e+03(4.8e+02) =,1.1854e+04(8.7e+02) +
Macau_s3,1.3077e+04(1.5e+03),*1.2830e+04(5.4e+02) =,1.6054e+04(1.8e+03) +,1.7106e+04(2.8e+03) +,1.4471e+04(9.4e+02) +,1.5745e+04(1.7e+03) +
