,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,NSGAII,OmniOptimizer
HongKong_p11,*2.3885e+00(1.3e+00),4.5048e+01(7.1e+00) +,4.3234e+00(3.3e+00) =,2.7953e+00(2.1e+00) =,5.1217e+00(1.8e+00) +,9.2404e+00(3.4e+00) +,3.7204e+00(3.0e+00) =,3.2758e+00(2.5e+00) =
HongKong_p22,7.8590e-01(1.6e+00),5.4230e+01(1.6e+01) +,8.3778e-01(1.2e+00) =,4.8617e-01(1.3e+00) =,3.3371e+00(8.1e-01) +,5.1185e+00(6.8e+00) +,3.7947e-01(1.2e+00) =,*2.4671e-01(7.3e-01) =
HongKong_p33,1.4653e+01(5.4e+00),5.3968e+01(1.0e+01) +,1.5070e+01(8.0e+00) =,1.7327e+01(6.9e+00) =,2.2064e+01(6.3e+00) +,2.7312e+01(5.3e+00) +,*1.4282e+01(8.0e+00) =,1.4654e+01(7.0e+00) =
