,vs,win,tie,loss
0,CPDEA,3,0,0
1,DN_NSGAII,3,0,0
2,HREA,3,0,0
3,MMEA_WI,0,0,3
4,MO_Ring_PSO_SCD,3,0,0
5,OmniOptimizer,3,0,0
