,F5_Full,F0_NSGAII,F1_plusE,F2_plusS_core,F3_plusPortfolio,F4_plusCrossMode
MMF1,4.0000e+00(3.4e+00),*1.4267e+01(6.8e+00) -,6.9000e+00(7.1e+00) =,6.0000e+00(6.2e+00) =,3.6333e+00(3.1e+00) =,3.1333e+00(7.2e-01) =
MMF2,5.2000e+00(2.2e+00),5.3667e+00(1.8e+00) =,*6.5667e+00(2.3e+00) =,6.0667e+00(1.5e+00) =,5.0667e+00(1.5e+00) =,5.2667e+00(2.1e+00) =
MMF3,7.7333e+00(4.9e+00),7.8667e+00(3.9e+00) =,8.6333e+00(3.2e+00) =,*9.3667e+00(3.1e+00) =,8.0333e+00(5.0e+00) =,6.9333e+00(4.7e+00) =
MMF4,1.6267e+01(3.5e+00),6.6667e+00(2.1e+00) +,1.1767e+01(3.7e+00) +,1.4800e+01(3.1e+00) =,1.6133e+01(4.1e+00) =,*1.6367e+01(3.9e+00) =
MMF5,1.4367e+01(6.2e+00),1.5333e+01(5.4e+00) =,1.5933e+01(5.0e+00) =,*1.6833e+01(4.6e+00) =,1.3267e+01(6.3e+00) =,1.6000e+01(5.6e+00) =
MMF6,1.3367e+01(6.9e+00),*1.3700e+01(5.6e+00) =,1.1567e+01(6.9e+00) =,1.1767e+01(6.5e+00) =,1.1733e+01(7.8e+00) =,1.0500e+01(7.2e+00) =
MMF7,1.6467e+01(1.5e+00),1.2200e+01(3.1e+00) +,1.6567e+01(1.8e+00) =,*1.6733e+01(1.3e+00) =,1.5800e+01(2.5e+00) =,1.6433e+01(1.7e+00) =
MMF8,*9.0667e+00(3.9e+00),2.2333e+00(5.6e-01) +,8.4000e+00(3.5e+00) =,8.8333e+00(3.8e+00) =,8.8333e+00(3.6e+00) =,8.6667e+00(3.5e+00) =
