,F5_Full,F0_NSGAII,F1_plusE,F2_plusS_core,F3_plusPortfolio,F4_plusCrossMode
MMF1,2.5155e+01(7.0e-01),1.1994e+01(2.2e+00) +,2.3885e+01(9.5e-01) +,2.4065e+01(1.0e+00) +,*2.5248e+01(7.4e-01) =,2.5167e+01(8.2e-01) =
MMF2,1.0535e+02(3.1e+01),2.9981e+01(1.7e+01) +,6.2377e+01(3.1e+01) +,6.0057e+01(3.8e+01) +,*1.1767e+02(2.5e+01) =,1.0617e+02(3.1e+01) =
MMF3,*8.2709e+01(3.1e+01),3.3925e+01(1.2e+01) +,5.2872e+01(2.4e+01) +,5.6702e+01(2.3e+01) +,7.8408e+01(3.2e+01) =,8.1966e+01(3.1e+01) =
MMF4,*4.2826e+01(3.3e+00),6.7560e+00(2.0e+00) +,1.6801e+01(4.0e+00) +,2.6359e+01(5.0e+00) +,4.2061e+01(3.7e+00) =,4.2537e+01(3.3e+00) =
MMF5,1.3478e+01(6.3e-01),6.8283e+00(9.6e-01) +,9.6282e+00(8.5e-01) +,1.0721e+01(9.9e-01) +,1.3515e+01(5.9e-01) =,*1.3520e+01(7.0e-01) =
MMF6,1.4992e+01(8.0e-01),7.9137e+00(1.1e+00) +,1.0682e+01(1.1e+00) +,1.2383e+01(9.7e-01) +,*1.5243e+01(7.9e-01) =,1.5067e+01(7.3e-01) =
MMF7,4.7678e+01(2.6e+00),2.1789e+01(5.1e+00) +,4.5676e+01(2.6e+00) =,4.6981e+01(2.6e+00) =,4.6544e+01(2.8e+00) =,*4.7849e+01(3.1e+00) =
MMF8,*2.1809e+01(2.3e+00),5.7680e-01(4.2e-01) +,1.0500e+01(3.9e+00) +,1.4770e+01(3.9e+00) +,2.1470e+01(3.4e+00) =,2.1740e+01(2.5e+00) =
