,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
Shenzhen_p11,7.1390e+02(1.5e+01),7.7279e+02(2.0e+01) +,7.1727e+02(1.6e+01) =,*7.1171e+02(1.3e+01) =,7.2164e+02(8.0e+00) =,7.2330e+02(1.4e+01) =,7.1355e+02(1.6e+01) =
Shenzhen_p22,*6.4109e+02(1.9e-01),7.0700e+02(1.7e+01) +,6.4119e+02(3.2e-01) =,6.4134e+02(3.1e-01) +,6.4271e+02(9.8e+00) -,6.4121e+02(1.2e+00) =,6.4129e+02(3.4e-01) +
Shenzhen_p33,6.7819e+02(1.3e+01),7.2901e+02(2.2e+01) +,6.8471e+02(1.5e+01) =,*6.7796e+02(1.9e+01) =,6.8273e+02(1.3e+01) =,6.8609e+02(2.2e+01) =,6.8355e+02(1.7e+01) =
