algo,set_size,recovery,recovery_ctrl,n_feasible,regret_pct,access_before,access_after
CPDEA,120.0,99.9888888888889,99.91111111111111,96.0,0.34064636496802003,360.89441460920733,362.11493474558347
MO_Ring_PSO_SCD,46.0,96.21111111111111,96.21111111111111,31.0,0.8363428968016805,345.4115562804526,348.071780447992
EARS_MMOEA,120.0,94.5111111111111,94.19999999999999,117.0,0.6316937477582243,343.1982239704094,345.4346245433901
DN_NSGAII,120.0,93.64444444444445,93.37777777777778,118.0,0.5175304939737133,344.21048127657724,345.92396509485457
OmniOptimizer,120.0,93.10000000000001,92.78888888888889,119.0,0.46536782216306105,343.9548011262724,345.5106057854068
HREA,120.0,92.56666666666666,92.22222222222223,120.0,0.5204136852853312,343.84582401658446,345.6806549930889
MMEA_WI,120.0,92.30000000000001,91.34444444444443,120.0,0.5686006768138435,344.5970010428005,346.4937496911999
NSGAII,120.0,90.3,89.71111111111111,120.0,0.5030057603947743,344.2499382658658,345.83947963786557
